,Name,Corrdinates,Corrdinates_ll,latitude,longtitude
0,Aceh Barat,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=4.4542745,96.1526985&amp;z=10&amp;ftid=0x303f265aa5ffff8d:0x3039d80b220ccc0&amp;q=West+Aceh+Regency,+Aceh,+Indonesia&amp;ved=0ahUKEwiNuayWsobeAhXKFsAKHe03BwAQ_BIIUTAQ"" style=""height:160px""><img alt=""Map for West Aceh Regency"" height=""160"" src=""/maps/vt/data=pne_PPTmCwjosdVXuozfY1VHF_-Hv8hZD8SUvHQlyWL690K07vddE72eGJ3eeU48SQ1i_SU7w4hEQngMYnEYw8UWUyf_FPSlyu9DKjNUL6sO_CkFjJCju28BipAsC27HazBsvcCY-pUy11gUNzgggZEN7yMCTsSLsWTVfG-lBdIFzhZpvKTfQhrXvB_DfeP76r3z1E9YavtvWAFEZwTifLjXX9X9WBjyWe4bptob"" title=""Map for West Aceh Regency"" width=""260""/></a></div>]","4.4542745,96.1526985",4.4542745,96.1526985
1,Aceh Barat Daya,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=3.7963426,97.0068393&amp;z=11&amp;ftid=0x3039634e94d91b9b:0x3039d80b220ccd0&amp;q=Southwest+Aceh+Regency,+Aceh,+Indonesia&amp;ved=0ahUKEwjd7d6WsobeAhWIC8AKHcbkDc0Q_BIIWTAR"" style=""height:160px""><img alt=""Map for Southwest Aceh Regency"" height=""160"" src=""/maps/vt/data=OUpPhbHQAgFsvVhR8z9ag-zhVhwVCkAx6KOlYh4ii9BNqZmgBXW6ytnjvCrn4-Aj4nzG9-Z9DvSkxKoXOliWWGAwSEcS_wnJYMPK2NStJ_sKAkQUdtRnTOIvAtOd6RcxM8D4P59XtklW7oc6fr0iPXPh1ilb3n6ZCbS4cRwGlRqIH9q5tdAHqHSEXS2TJ0ZO4DJDJm0jx8hAm36rYi9CAKBv-w6Dx8UgDklG08cF"" title=""Map for Southwest Aceh Regency"" width=""260""/></a></div>]","3.7963426,97.0068393",3.7963426,97.0068393
2,Aceh Besar,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=5.4529168,95.4777811&amp;z=10&amp;ftid=0x304040f7acd29ceb:0x3039d80b220cce0&amp;q=Aceh+Besar+Regency,+Aceh,+Indonesia&amp;ved=0ahUKEwi0so-XsobeAhXMNcAKHfHwBPUQ_BIIYjAQ"" style=""height:160px""><img alt=""Map for Aceh Besar"" height=""160"" src=""/maps/vt/data=IpRVQBgt-TxMW_Dt-G5FReEuebgGt38OqjEbYWn5Iwn5Hd0UfBnOlGFOkwYmK_90rVkkAdtr18gxgnL99kuMPPTI_400Zlpahg8rIpFKc5KF_Uu2BcnPQr8KZB0eA_SrlB8bkxYGBDwgLu1dxDhpgVDauRo4H3f1WTiTJ0Bcdfa0f2jybNpgTSECY_rQg0W7FDrMLga2-A-t1-EeklZhuFgijzUQwFLfLKUWXUAu"" title=""Map for Aceh Besar"" width=""260""/></a></div>]","5.4529168,95.4777811",5.4529168,95.4777811
3,Aceh Jaya,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=4.7873684,95.6457951&amp;z=10&amp;ftid=0x303f9b806a0d525d:0x3039d80b220ccf0&amp;q=Aceh+Jaya+Regency,+Aceh,+Indonesia&amp;ved=0ahUKEwiTur-XsobeAhWsAMAKHbsNAb8Q_BIIXjAQ"" style=""height:160px""><img alt=""Map for Aceh Jaya"" height=""160"" src=""/maps/vt/data=qIPSryU1GFsodPN-FYesH_uKwlwmM1E62Ce2DMZD9-vjQcZTzZbG06cwVhdOPv1M5hqSW8kQX86FgxMT-GF05AG1VicwNVDcxzUuHqcP87_xt_OkYdV9a9s1MILDo_ftbeO_q-LESuMs8PIBX7z3HQLmfnczt1g9tnglQHaQm2NHh4bd_tbWGImIAnXvd2H0T9lAiLmJAHfOSKaZ7nnKuzKnnhu5OTb6YQgx2r4g"" title=""Map for Aceh Jaya"" width=""260""/></a></div>]","4.7873684,95.6457951",4.7873684,95.6457951
4,Aceh Selatan,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=3.3115056,97.3516558&amp;z=9&amp;ftid=0x303a8ad118c351d5:0x3039d80b220cd00&amp;q=South+Aceh+Regency,+Aceh,+Indonesia&amp;ved=0ahUKEwjTy_-YsobeAhVqDcAKHev3B2AQ_BIIZjAQ"" style=""height:160px""><img alt=""Map for South Aceh Regency"" height=""160"" src=""/maps/vt/data=DsfE1nklLpHHRwgP_tE0hjvv1-kuVcsuuGOwAJqvWZjwxEsC2WuC0U33X95CQq_rcClpQeq7SjBHY7ZHySC9Y67c4hfv49UoOyKLm3--b8wXLSTvLwkiyuDumhuI4fYrcCf4Iy22L-tixpgHVwFcOfg9R9aCw8UNp5pmh7Njwuaji-8AwS0yWeM-6ZdcWX4tt-7stJ6Ta3kFinb-8N7_HfFQH3-9KuxFP7tgN61U"" title=""Map for South Aceh Regency"" width=""260""/></a></div>]","3.3115056,97.3516558",3.3115056,97.3516558
5,Aceh Singkil,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=2.3589459,97.87216&amp;z=10&amp;ftid=0x303aad6ec69c809f:0x3039d80b220ce00&amp;q=Aceh+Singkil+Regency,+Aceh,+Indonesia&amp;ved=0ahUKEwiK9KmZsobeAhWMBsAKHR8lCDEQ_BIIXzAQ"" style=""height:160px""><img alt=""Map for Aceh Singkil"" height=""160"" src=""/maps/vt/data=FXkq6AWYMS5gPL0X7_MUmBdawnx09st3fT-hpSRtdcPTRUM21a4f11p4cUHRuhNxhMO2LBciwqGHJP6P1nRMWY9i5uS93WW2kjtDp2bKxgMNf6tEcjrSVd7H3vWY-AZ-tPP64BAUsFE-4VD1_9hTDRV3P2BkMcGbtLB11irQV7pFd7IkLGmGqq6RuylmaMgrWLunzTLvBFXtnFlF2w0iUN1-TCMB4A2JgF7GUtq3"" title=""Map for Aceh Singkil"" width=""260""/></a></div>]","2.3589459,97.87216",2.3589459,97.87216
6,Aceh Tamiang,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=4.2328871,98.0028892&amp;z=10&amp;ftid=0x303770355159fa5d:0x3039d80b220cd20&amp;q=Aceh+Tamiang+Regency,+Aceh,+Indonesia&amp;ved=0ahUKEwjrs9mZsobeAhUBC8AKHV-kAp4Q_BIIXDAQ"" style=""height:160px""><img alt=""Map for Aceh Tamiang"" height=""160"" src=""/maps/vt/data=VkBZ_28VW5HQLwAQ9hcw1DdXDiWLvBGw7QMIC3-gOm8HgHNrhFj7MhfEnKuSvVN92bZ1SCCDJGoe7ThK-yJoRAKFzn8I2HuFM3WJnEQpBqedr3EQVbNrNwHf9eSA-LS4SbjNgfyUmGmR6u8jiJZ4HzqaSYTPb7x7TszjwWG5CRaMiiFKD0vpdq9eCbJieD6skPn8uXyX6wYmhkNRvcL-asRsT7SGfGKwgzyTUASi"" title=""Map for Aceh Tamiang"" width=""260""/></a></div>]","4.2328871,98.0028892",4.2328871,98.0028892
7,Aceh Tengah,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=4.4482641,96.8350999&amp;z=10&amp;ftid=0x30375e32fa10f56f:0x3039d80b220cc50&amp;q=Central+Aceh,+Aceh,+Indonesia&amp;ved=0ahUKEwiHsYyasobeAhWKW8AKHZ8sBdYQ_BIIXzAQ"" style=""height:160px""><img alt=""Map for Central Aceh"" height=""160"" src=""/maps/vt/data=b8pAnhRabZt2BIKF3ff878doZ8QzclbeS2Oyev-MEjgJEp5pcZ03J5aDDumuNoY-n18x-34uqHwXocMGGhwYy00-1k_K2zIqSEjtPUQvKX8Hoshaq4pRcsWwO4TJLdnr7Nm9NQzf5HyZNe2NjIt0rorFTVVWJclp-S13wFdk0oeJL0lK-WMunvhW4joDEiVh-4fdcxZTpBgbL98jUVDKtfnZ4V15XjP-Gw-9_Z45"" title=""Map for Central Aceh"" width=""260""/></a></div>]","4.4482641,96.8350999",4.4482641,96.8350999
8,Aceh Tenggara,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=3.3088666,97.6982272&amp;z=10&amp;ftid=0x303a72799848ad19:0x3039d80b220cd40&amp;q=Aceh+Tenggara+Regency,+Aceh,+Indonesia&amp;ved=0ahUKEwir18easobeAhWnL8AKHWzFCEQQ_BIIZjAQ"" style=""height:160px""><img alt=""Map for Aceh Tenggara"" height=""160"" src=""/maps/vt/data=g0Zcif1L3THyORjqEtwWFSVbunyhQ1CdjEZz0gml8eVlOD63oLRUaMamy7MnSUD1XXyzSwnZ04smzp4slbUxo_sNOXhfu08NK2ioJxNyUTm6N11GTaFE-ryWXcN5BAncL2iZANiSEMa2v8wU6VyOmNc4jQ5HpeYw009uEgeVP7jLQD1_PJRwAJFx9Vr3CuH6JtfyVWQZl-_Qckl3uYb2_Erc4E3PmMUfe71ylCXj"" title=""Map for Aceh Tenggara"" width=""260""/></a></div>]","3.3088666,97.6982272",3.3088666,97.6982272
9,Aceh Timur,"[<div class=""R8KuR""><a href=""https://maps.google.com/maps?um=1&amp;ie=UTF-8&amp;fb=1&amp;gl=uk&amp;sa=X&amp;ll=4.5224111,97.6114217&amp;z=9&amp;ftid=0x3038186942ad6227:0x3039d80b220cd50&amp;q=East+Aceh+Regency,+Aceh,+Indonesia&amp;ved=0ahUKEwi0q5qbsobeAhXpKMAKHc27BwIQ_BIIXzAQ"" style=""height:160px""><img alt=""Map for East Aceh Regency"" height=""160"" src=""/maps/vt/data=M79sV9QL_ntcs_qgBo3gPXX4rUoow7ExiGxhQ0qghhDksTUH7249W2Ns1OOL3V1GHx4nO1ImKz6vgC6cci1gkHTbbIKLguK0F1KLPh9fRv4jktIs8bkiavXP2065l0uQJV2IdSs40eSjkoQhMOut-S8EJ5q9zQ4PbN_De3Rrl9rfuzrtL2jN6a18PbNcHDq6T0QoyGwcdKJld0RMFcl6YL6LAd8u1dROeIMgX4Br"" title=""Map for East Aceh Regency"" width=""260""/></a></div>]","4.5224111,97.6114217",4.5224111,97.6114217
